Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net P&L,SL,TP,Order ID,Mode,Portfolio,Notes
2026-05-09,10:03:13,BitGet,DOGEUSDT,CLOSE_LONG,2380,0.10887,5.25,0.2591,-3.7600,,,1436905884285022211-CLOSE,LIVE,synapse_t,"LOSS: -3.7600 USDT | Ulaz 0.11022 → Izlaz 0.10887"
2026-05-09,07:16:25,BitGet,ZECUSDT,LONG,0.423,612.9,5.19,0.2593,OPEN,,,1436905905743081475,LIVE,synapse_t,"Ulaz LONG po 612.9"
2026-05-09,07:39:03,BitGet,ZECUSDT,CLOSE_LONG,0.423,605.33,5.19,0.2561,-3.7160,,,1436905905743081475-CLOSE,LIVE,synapse_t,"LOSS: -3.7160 USDT | Ulaz 612.9 → Izlaz 605.33"
2026-05-10,15:34:17,BitGet,ADAUSDT,LONG,931,0.2764,5.15,0.2573,OPEN,,,1437393587577434114,LIVE,synapse_t,"Ulaz LONG po 0.2764"
2026-05-10,15:45:56,BitGet,ADAUSDT,CLOSE_LONG,931,0.2816,5.15,0.2622,4.3217,,,1437393587577434114-CLOSE,LIVE,synapse_t,"WIN: +4.3217 USDT | Ulaz 0.2764 → Izlaz 0.2816"
2026-05-10,15:35:17,BitGet,ETHUSDT,LONG,0.1,2336.36,4.67,0.2336,OPEN,,,1437393839046930434,LIVE,synapse_t,"Ulaz LONG po 2336.36"
2026-05-10,20:49:25,BitGet,ETHUSDT,CLOSE_LONG,0.1,2312.65,4.67,0.2313,-2.8594,,,1437393839046930434-CLOSE,LIVE,synapse_t,"LOSS: -2.8594 USDT | Ulaz 2336.36 → Izlaz 2312.65"
2026-05-10,15:36:18,BitGet,PEPEUSDT,LONG,58901000,0.0000042851,5.05,0.2524,OPEN,,,1437394094954000386,LIVE,synapse_t,"Ulaz LONG po 0.0000042851"
2026-05-10,17:18:43,BitGet,PEPEUSDT,CLOSE_LONG,58901000,0.0000043724,5.05,0.2575,4.6035,,,1437394094954000386-CLOSE,LIVE,synapse_t,"WIN: +4.6035 USDT | Ulaz 0.0000042851 → Izlaz 0.0000043724"
2026-05-10,15:38:17,BitGet,SOLUSDT,LONG,2.6,94.515,4.91,0.2457,OPEN,,,1437394596227854339,LIVE,synapse_t,"Ulaz LONG po 94.515"
2026-05-10,17:55:40,BitGet,SOLUSDT,CLOSE_LONG,2.6,96.408,4.91,0.2507,4.4225,,,1437394596227854339-CLOSE,LIVE,synapse_t,"WIN: +4.4225 USDT | Ulaz 94.515 → Izlaz 96.408"
2026-05-10,15:38:22,BitGet,LINKUSDT,LONG,23,10.578,4.87,0.2433,OPEN,,,1437394613999120390,LIVE,synapse_t,"Ulaz LONG po 10.578"
2026-05-10,17:52:18,BitGet,LINKUSDT,CLOSE_LONG,23,10.788,4.87,0.2481,4.3142,,,1437394613999120390-CLOSE,LIVE,synapse_t,"WIN: +4.3142 USDT | Ulaz 10.578 → Izlaz 10.788"
2026-05-10,15:45:17,BitGet,SUIUSDT,LONG,204.4,1.1992,4.90,0.2451,OPEN,,,1437396355860017220,LIVE,synapse_t,"Ulaz LONG po 1.1992"
2026-05-10,15:59:21,BitGet,SUIUSDT,CLOSE_LONG,204.4,1.2222,4.90,0.2498,4.2224,,,1437396355860017220-CLOSE,LIVE,synapse_t,"WIN: +4.2224 USDT | Ulaz 1.1992 → Izlaz 1.2222"
2026-05-10,16:05:17,BitGet,DOGEUSDT,LONG,2354,0.10923,5.14,0.2571,OPEN,,,1437401388957708321,LIVE,synapse_t,"Ulaz LONG po 0.10923"
2026-05-10,18:21:34,BitGet,DOGEUSDT,CLOSE_LONG,2354,0.11142,5.14,0.2623,4.6358,,,1437401388957708321-CLOSE,LIVE,synapse_t,"WIN: +4.6358 USDT | Ulaz 0.10923 → Izlaz 0.11142"
2026-05-10,16:05:22,BitGet,SUIUSDT,LONG,207.4,1.2312,5.11,0.2554,OPEN,,,1437401408503164931,LIVE,synapse_t,"Ulaz LONG po 1.2312"
2026-05-10,16:22:42,BitGet,SUIUSDT,CLOSE_LONG,207.4,1.252,5.11,0.2597,3.7973,,,1437401408503164931-CLOSE,LIVE,synapse_t,"WIN: +3.7973 USDT | Ulaz 1.2312 → Izlaz 1.252"
2026-05-10,16:05:26,BitGet,XRPUSDT,LONG,174,1.4451,5.03,0.2514,OPEN,,,1437401427071348737,LIVE,synapse_t,"Ulaz LONG po 1.4451"
2026-05-10,16:32:27,BitGet,XRPUSDT,CLOSE_LONG,174,1.4735,5.03,0.2564,4.4338,,,1437401427071348737-CLOSE,LIVE,synapse_t,"WIN: +4.4338 USDT | Ulaz 1.4451 → Izlaz 1.4735"
2026-05-10,16:11:19,BitGet,RIVERUSDT,LONG,38,6.425,4.88,0.2442,OPEN,,,1437402905626423297,LIVE,synapse_t,"Ulaz LONG po 6.425"
2026-05-10,17:09:22,BitGet,RIVERUSDT,CLOSE_LONG,38,6.363,4.88,0.2418,-2.8130,,,1437402905626423297-CLOSE,LIVE,synapse_t,"LOSS: -2.8130 USDT | Ulaz 6.425 → Izlaz 6.363"
2026-05-10,16:31:40,BitGet,ZECUSDT,SHORT,0.422,594.15,5.01,0.2507,OPEN,,,1437408030029918210,LIVE,synapse_t,"Ulaz SHORT po 594.15"
2026-05-10,20:15:16,BitGet,ZECUSDT,CLOSE_SHORT,0.422,579.66,5.01,0.2446,5.6326,,,1437408030029918210-CLOSE,LIVE,synapse_t,"WIN: +5.6326 USDT | Ulaz 594.15 → Izlaz 579.66"
2026-05-10,16:32:40,BitGet,TAOUSDT,LONG,0.766,323.81,4.96,0.2480,OPEN,,,1437408279402262531,LIVE,synapse_t,"Ulaz LONG po 323.81"
2026-05-10,19:22:45,BitGet,TAOUSDT,CLOSE_LONG,0.766,330.65,4.96,0.2533,4.7412,,,1437408279402262531-CLOSE,LIVE,synapse_t,"WIN: +4.7412 USDT | Ulaz 323.81 → Izlaz 330.65"
2026-05-10,16:34:40,BitGet,SUIUSDT,LONG,194.9,1.2619,4.92,0.2459,OPEN,,,1437408781787607043,LIVE,synapse_t,"Ulaz LONG po 1.2619"
2026-05-10,16:42:44,BitGet,SUIUSDT,CLOSE_LONG,194.9,1.2494,4.92,0.2435,-2.9257,,,1437408781787607043-CLOSE,LIVE,synapse_t,"LOSS: -2.9257 USDT | Ulaz 1.2619 → Izlaz 1.2494"
2026-05-10,16:46:40,BitGet,XAGUSDT,LONG,3.07,81.45,5.00,0.2501,OPEN,,,1437411801946533890,LIVE,synapse_t,"Ulaz LONG po 81.45"
2026-05-10,20:32:13,BitGet,XAGUSDT,CLOSE_LONG,3.07,80.58,5.00,0.2474,-3.1340,,,1437411801946533890-CLOSE,LIVE,synapse_t,"LOSS: -3.1340 USDT | Ulaz 81.45 → Izlaz 80.58"
2026-05-10,16:47:39,BitGet,ADAUSDT,LONG,872,0.284,4.95,0.2476,OPEN,,,1437412051385987075,LIVE,synapse_t,"Ulaz LONG po 0.284"
2026-05-10,20:45:04,BitGet,ADAUSDT,CLOSE_LONG,872,0.2811,4.95,0.2451,-3.0216,,,1437412051385987075-CLOSE,LIVE,synapse_t,"LOSS: -3.0216 USDT | Ulaz 0.284 → Izlaz 0.2811"
2026-05-10,16:47:43,BitGet,SUIUSDT,LONG,197,1.2457,4.91,0.2454,OPEN,,,1437412069736067159,LIVE,synapse_t,"Ulaz LONG po 1.2457"
2026-05-10,16:56:06,BitGet,SUIUSDT,CLOSE_LONG,197,1.2698,4.91,0.2502,4.2521,,,1437412069736067159-CLOSE,LIVE,synapse_t,"WIN: +4.2521 USDT | Ulaz 1.2457 → Izlaz 1.2698"
2026-05-10,16:47:48,BitGet,XRPUSDT,LONG,164,1.4739,4.83,0.2417,OPEN,,,1437412087545081861,LIVE,synapse_t,"Ulaz LONG po 1.4739"
2026-05-10,17:55:07,BitGet,XRPUSDT,CLOSE_LONG,164,1.5032,4.83,0.2465,4.3170,,,1437412087545081861-CLOSE,LIVE,synapse_t,"WIN: +4.3170 USDT | Ulaz 1.4739 → Izlaz 1.5032"
2026-05-10,18:01:40,BitGet,HYPEUSDT,LONG,6.27,43.677,5.48,0.2739,OPEN,,,1437430678428463107,LIVE,synapse_t,"Ulaz LONG po 43.677"
2026-05-10,19:06:02,BitGet,HYPEUSDT,CLOSE_LONG,6.27,42.846,5.48,0.2686,-5.7510,,,1437430678428463107-CLOSE,LIVE,synapse_t,"LOSS: -5.7510 USDT | Ulaz 43.677 → Izlaz 42.846"
2026-05-10,18:02:40,BitGet,SUIUSDT,LONG,202.4,1.3375,5.41,0.2707,OPEN,,,1437430927997939716,LIVE,synapse_t,"Ulaz LONG po 1.3375"
2026-05-10,18:14:12,BitGet,SUIUSDT,CLOSE_LONG,202.4,1.3245,5.41,0.2681,-3.1700,,,1437430927997939716-CLOSE,LIVE,synapse_t,"LOSS: -3.1700 USDT | Ulaz 1.3375 → Izlaz 1.3245"
2026-05-10,18:03:09,BitGet,RIVERUSDT,LONG,41,6.439,5.28,0.2640,OPEN,,,1437431049276239874,LIVE,synapse_t,"Ulaz LONG po 6.439"
2026-05-10,20:16:35,BitGet,RIVERUSDT,CLOSE_LONG,41,6.376,5.28,0.2614,-3.1784,,,1437431049276239874-CLOSE,LIVE,synapse_t,"LOSS: -3.1784 USDT | Ulaz 6.439 → Izlaz 6.376"
2026-05-10,18:13:06,BitGet,PEPEUSDT,LONG,59158000,0.0000044922,5.32,0.2658,OPEN,,,1437433556601810945,LIVE,synapse_t,"Ulaz LONG po 0.0000044922"
2026-05-10,20:16:04,BitGet,PEPEUSDT,CLOSE_LONG,59158000,0.0000044433,5.32,0.2629,-3.4235,,,1437433556601810945-CLOSE,LIVE,synapse_t,"LOSS: -3.4235 USDT | Ulaz 0.0000044922 → Izlaz 0.0000044433"
2026-05-10,18:15:06,BitGet,SOLUSDT,LONG,2.7,96.63,5.22,0.2609,OPEN,,,1437434057552703490,LIVE,synapse_t,"Ulaz LONG po 96.63"
2026-05-10,20:16:07,BitGet,SOLUSDT,CLOSE_LONG,2.7,95.662,5.22,0.2583,-3.1328,,,1437434057552703490-CLOSE,LIVE,synapse_t,"LOSS: -3.1328 USDT | Ulaz 96.63 → Izlaz 95.662"
2026-05-10,18:49:10,BitGet,NEARUSDT,LONG,167,1.604,5.36,0.2679,OPEN,,,1437442632266166275,LIVE,synapse_t,"Ulaz LONG po 1.604"
2026-05-10,20:31:15,BitGet,NEARUSDT,CLOSE_LONG,167,1.587,5.36,0.2650,-3.3600,,,1437442632266166275-CLOSE,LIVE,synapse_t,"LOSS: -3.3600 USDT | Ulaz 1.604 → Izlaz 1.587"
